2017-02-13 15:02:24,17,FR,2017-02-12 14:52:01,3.96
2017-02-11 11:39:29,8,RU,2017-02-09 11:35:33,3.05
2017-02-09 14:43:58,4,US,2017-02-09 14:27:29,9.11
2017-03-10 14:19:52,11,US,2017-03-06 14:13:01,3.16
2017-03-26 13:40:02,2,US,2017-03-20 14:00:56,7.45
2017-02-28 11:46:56,1,US,2017-02-22 11:46:18,4.26
2017-03-28 13:40:02,2,US,2017-03-20 14:00:56,2.55
2017-02-08 10:41:56,25,FR,2017-02-05 10:30:31,7.72
2017-03-31 10:36:35,21,RU,2017-03-21 10:29:04,8.76
2017-03-04 14:27:28,23,RU,2017-02-24 14:24:14,9.89
2017-02-20 12:15:38,28,US,2017-02-13 12:10:32,5.12
2017-02-18 11:50:45,4,RU,2017-02-09 11:35:33,6.87
2017-02-17 15:41:26,2,FR,2017-02-14 15:35:08,9.51
2017-02-15 11:41:03,19,US,2017-02-08 11:26:13,5.36
2017-03-09 11:52:20,15,RU,2017-02-28 11:37:13,4.24
2017-03-08 14:10:04,2,US,2017-02-26 14:07:32,4.11
2017-02-23 15:22:24,3,RU,2017-02-18 15:20:14,8.36
2017-03-13 13:25:44,10,FR,2017-03-10 13:14:46,2.25
2017-02-16 13:50:51,0,US,2017-02-13 13:34:27,7.66
2017-03-14 15:13:15,14,RU,2017-03-05 14:58:54,1.29
